assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,CRBB_hits,p_contigs_with_CRBB,n_contigs_with_CRBB,p_refs_with_CRBB,n_refs_with_CRBB,rbh_per_reference,reference_coverage,score,optimal_score,cutoff
../vsearch/20M.ec.P2.score.consensus.Trinity.fasta,91185,200,18389,77075624,845.2664802324944,0,19809,75,18861,55.28519107415854,297,753,1801,3086,5364,0.48908875522045725,0.004963203661125695,0.00219755283064343,1.381645897505014,0,0.0,0.14587234335588364,232844421,176392255,0.7575541395514046,157568586,0.676711880504966,18823669,42422,1038286,0.013471003491324313,24471,0.26836650764928444,632,0.006930964522673685,21023,0.23055327082305205,5193,0.05695015627570324,13500,0.25084078113677327,11883,0.22079562979616865,10079,0.18727586911685465,9286,0.17254129582489455,7902,0.1468254705587246,22023,0.24151998683994078,22023,0.2773555807428603,14927,0.4092049276277894,0.2816464062166267,0.30514734553903705,0.3875425145407342,0.5308333360970624
../vsearch/20M.ec.P2.score.centriod.Trinity.fasta,91185,200,18389,77161832,846.2118988868783,0,19822,76,18874,55.3632850500491,297,754,1806,3090,5378,0.48911040629517455,0.005056324539147505,0.0019146308087148185,1.3816549370881037,0,0.0,0.14597373460804272,232844421,177306442,0.761480310494534,158578441,0.6810489180670556,18728001,42407,966122,0.012520723976589876,24444,0.26807040631682844,614,0.006733563634369688,21025,0.23057520425508582,5214,0.057180457312057904,13540,0.25158401308088224,11928,0.22163176573329121,10145,0.18850220182463442,9353,0.17378620933127706,7976,0.1482004496553262,22046,0.24177222130832923,22046,0.2780430702911611,14964,0.4096322859956521,0.2835019516855648,0.3075784926788588,0.39203939910465113,0.530844669859315
../vsearch/20M.ec.P2.score.Trinity.fasta,94267,200,18389,83919280,890.2296667975007,0,21804,93,20712,55.7450361823886,307,843,1916,3245,5760,0.4893561408057838,0.004403233152930442,0.0017400236833639943,1.3844162869821943,0,0.0,0.15137345502004942,232844421,176421398,0.7576793003771389,158431307,0.6804170197404042,17990091,43707,1941033,0.02312976231445265,27214,0.28869063405009177,1415,0.015010555125335483,22206,0.2355649378891871,5267,0.05587321119798021,13745,0.2553930767944406,12115,0.2251063750720006,10345,0.1922183615451792,9562,0.17766959623924636,8166,0.15173080138984374,23768,0.25213489344097084,23768,0.2820565227893495,15180,0.4416284211895427,0.28948036736004623,0.3011457458960145,0.3949473667803789,0.530844669859315
../vsearch/20M.ec.P2.score.vsearch.Trinity.fasta,91195,200,18389,77099807,845.4389714348374,0,19819,75,18866,55.28903723455495,297,753,1802,3087,5364,0.48907564710246293,0.00501495214311753,0.0019891009301874186,1.3816158930027547,0,0.0,0.1459074620961607,232844421,176444092,0.7577767645976796,157620043,0.6769328735602388,18824049,42367,1014297,0.013155636044588283,24484,0.2684796315587477,625,0.006853445912604858,21022,0.2305170239596469,5205,0.05707549756017326,13745,0.2553930767944406,12115,0.2251063750720006,10345,0.1922183615451792,9562,0.17766959623924636,8166,0.15173080138984374,22032,0.24159219255441636,22032,0.2820565227893495,15180,0.40937215481521394,0.28948036736004623,0.3053545995834031,0.38774264771849076,0.5308250992265459
10M.bless.C50.Trinity.fasta,63071,224,23497,61113261,968.9597596359658,0,16759,66,18113,58.7541548470143,335,946,1964,3237,5438,0.49072805982321904,0.007087831167144026,0.0019396741389858501,1.4021133356678088,0,0.0,0.16358720944203756,232844421,192297496,0.8258625874484663,172506337,0.7408652363631251,19791159,40718,1130209,0.01849367848330005,11902,0.18870796404052576,778,0.012335304656656783,4352,0.06900160136988473,4847,0.07684989931981417,16133,0.2997640238577454,14151,0.2629368810271466,12024,0.22341552239915272,11059,0.2054850517475241,9455,0.1756814507887549,21546,0.3416150053114744,21546,0.33053382634385625,17789,0.4003418866942901,0.329566708657553,0.3031710829618429,0.4125268755506732,0.5177447377430658
10M.bless.Trinity.fasta,62544,224,23510,59375110,949.3334292657969,0,16189,76,17539,59.08771874275264,330,908,1913,3168,5387,0.49062369737083433,0.006505820842216818,0.003020604825892002,1.4000764816596278,0,0.0,0.1610076310964581,232844421,193842757,0.8324990402067654,173455980,0.7449436806561923,20386777,40474,828162,0.01394796573850558,11191,0.17893003325658735,692,0.011064210795599898,4196,0.06708876950626759,4675,0.07474737784599642,16240,0.3017521693082369,14242,0.2646277336999944,12109,0.22499489028038425,11140,0.20699009643434474,9530,0.1770750106839592,21032,0.3362752622154004,21032,0.33278210297478583,17910,0.39079135621249,0.33165686093181146,0.3068740438861185,0.4155256114175372,0.5190053950380444
trinity_10M_raw.Trinity.fasta,73839,224,18047,55256642,748.3395224745731,0,15413,31,22107,66.29687341478333,301,612,1163,1953,3643,0.4952818160756131,0.00841936873552349,0.006427688132022653,1.4040303147085964,0,0.0,0.1385824040522285,232844421,186882791,0.8026079826065491,164467814,0.7063420858170357,22414977,53076,3029240,0.054821282842341376,25163,0.3407819715868308,6351,0.08601145735993174,11004,0.14902693698452038,6826,0.09244437221522502,18659,0.3466991211282261,15922,0.29584347535257066,13045,0.24238651777253387,11804,0.21932774670655344,9938,0.18465597651387056,29435,0.3986375763485421,29435,0.38406510711830394,20670,0.5469258068711793,0.35975457389627424,0.14667427865330568,0.4070940490555843,0.530956828269863
trinity_20M_raw.Trinity.fasta,91227,224,18167,87757950,961.97342891907,0,22259,131,21177,54.25970980406903,324,927,2145,3564,6241,0.48746877063559485,0.006647847578476112,0.0027512139637681757,1.385705384400179,0,0.0,0.1594661359849606,232844421,196850450,0.8454162189267141,177722789,0.7632684014361676,19127661,51438,2508463,0.028583883283508787,21710,0.23797779166255603,1708,0.01872252732195512,16201,0.17758996788231554,6664,0.07304854922336589,19191,0.3565841059848752,16442,0.3055054906259871,13544,0.2516583362752931,12314,0.22880395399394265,10406,0.19335179025994537,24615,0.26982143444375023,24615,0.39443319273862393,21228,0.45736635760604993,0.3709865671892748,0.3087051320872118,0.4075195927397206,0.5265971657441414
trinity_100M_raw.Trinity.fasta,224022,224,23842,193202671,862.4272214336092,0,44008,395,30801,45.53971668435164,315,677,1707,3415,6534,0.47937868829981134,0.007164033159570513,0.0031975009342307516,1.3438514776021637,0,0.0,0.14600785821084258,232844421,200841258,0.862555594578751,182766794,0.7849309561082419,18074464,86593,11409538,0.05905476327498599,74496,0.3325387685138067,9162,0.040897768969119105,154271,0.6886421869280696,13179,0.05882904357607735,22209,0.4126609561678961,19279,0.35821921626191494,16138,0.299856927850759,14791,0.27482859213288985,12604,0.2341923855887326,33030,0.14744087634250208,33030,0.4527954811497798,24369,0.6137237778479719,0.4349816601321922,0.3497651254848884,0.41248961520680816,0.0365131044
new.trinity.100M.ec.P2.C50.Trinity.fasta,233916,224,25624,225407006,963.6237196258486,0,54596,466,42104,45.923878248930734,334,858,2105,3692,6605,0.4846760397500688,0.00733405568681743,0.0033723742179280498,1.359751517799515,0,0.0,0.15915895523125823,232844421,195779770,0.8408179554364328,180267798,0.7741984850906091,15511972,88457,22461864,0.09965024778333642,96254,0.4114895945553105,13148,0.0562082114947246,158551,0.6778116930864071,15459,0.06608782639922023,23247,0.43194782511752355,20295,0.37709730764228244,16967,0.31526040989241716,15524,0.28844831750868655,13210,0.2454523495419833,44512,0.19029053164383797,44512,0.471562087738531,25379,0.8270685074044483,0.4532250132723275,0.3201784856190393,0.3996453417148314,0.0396859047308282
new.trinity.20M.ec.P2.C50.Trinity.fasta,94058,224,18162,91591035,973.7718748006549,0,23804,155,22852,54.67353873662417,330,945,2097,3492,6186,0.4886673133456784,0.007212661016148227,0.003788570956381854,1.3879224934845384,0,0.0,0.16190634151185307,232844421,194302905,0.8344752438796891,176597039,0.7584336280919525,17705866,52516,2988056,0.03262389162869488,23640,0.25133428310191586,1919,0.020402304960768888,17462,0.1856514065789194,7108,0.0755703927363967,23414,0.4350508184841784,20451,0.3799959122243074,17095,0.31763875211356585,15649,0.290770917334027,13316,0.24742191419387205,26243,0.27900869676157264,26243,0.4746093387093777,25543,0.4876158977312845,0.4556617277016158,0.30750418533783336,0.4012777745718505,0.527394681209
new.trinity.100M.ec.P2.Trinity.fasta,224504,224,24022,178249466,793.9701118911022,0,40773,317,28796,46.484182454717704,306,599,1365,2850,5697,0.47779326867660854,0.007395182102048584,0.0021469747168096766,1.3390914529581823,0,0.0,0.13917205639814603,232844421,201351155,0.8647454559368635,182176026,0.7823937770018549,19175129,90598,10105277,0.05669176590969423,81266,0.36198018743541316,9726,0.04332216797918968,152388,0.678776324698001,13485,0.060065744931048,23524,0.4370947063304781,20558,0.38198405767479887,17201,0.3196083167654546,15756,0.29275906278451846,13400,0.24898270127650085,31059,0.1383449738089299,31059,0.4768390345417046,25663,0.577101023802003,0.45794686540836066,0.33444817678186045,0.4031937100772614,0.043366447649211555
new.trinity.20M.ec.P2.Trinity.fasta,92750,224,18162,86334584,930.8310943396226,0,22046,113,21078,55.017909161408596,322,851,1985,3374,5978,0.4876846108391511,0.006422470352494373,0.0023358070994210878,1.3840222755064329,0,0.0,0.1565745925286388,232844421,197471805,0.8480847604246442,178041046,0.7646352239635581,19430759,52395,2485101,0.028784536681152016,21738,0.23437196765498652,1706,0.01839353099730458,17052,0.1838490566037736,6772,0.07301347708894879,23546,0.43750348389973803,20581,0.3824114160426615,17224,0.3200356751333172,15773,0.29307493636076476,13415,0.24926141325554171,24567,0.2648733153638814,24567,0.4773592969025809,25691,0.4564744792731192,0.45844662743040915,0.3103228562192431,0.4044137280228804,0.5313908816800325
